rating,text,date,trip_type,date_status
5,"Good food, great service was wonderful.",May 2026,Friends,date_with_label
5,"What a fun experience. It was my husband’s birthday so that made it even more special. We both wanted tenderloin so we opted for the chateaubraiand and it was perfect. So fun to use the hot stone for finishing it off. Also, the mushroom soup and bread are a must!",Sep 2025,Couples,date_with_label
5,We visited this evening and had the salmon which was delicious! Husband had the ribeye and he thought it was great. Loved that he could cook it himself on the hot stone.,May 2026,Friends,date_with_label
5,Fantastic experience! It's worth it.,May 2026,Friends,date_with_label
5,"Top top top was super nice!!! 
Alll the workers made a lovely dinner!",May 2026,Business,date_with_label
5,"Fabulous food and great service by Patricia, atmospheric, thank you",May 2026,Couples,date_with_label
5,Patricia was a lovely server who exceeded all our expectations! The food and experience was delicious and I highly recommend coming here for a fun night with the family!,May 2026,Family,date_with_label
5,I chose a sirloin with a hotplate at the table. Lovely experience and food :),May 2026,Friends,date_with_label
5,"We came as two families with three children. We tried several different meats, and they were all delicious. The food was great, but the staff were fantastic. We had been here a few times before, and we will continue to come back.",May 2026,Family,date_with_label
5,"Great location, the atmosphere was lovely, the food was fantastic, and well explained, the service was outstanding, and the value was decent. Wait time was also not too shabby. 
8.67/10 - Big OL",May 2026,Couples,date_with_label
5,Amazing steaks! We enjoyed the time with friends! Great space and yummy sauces!,May 2026,Friends,date_with_label
5,"Great food, especially the chateau briand is really recommended. Super friendly staff!!  So tasty that we have booked for a second time!",May 2026,Family,date_with_label
4,Excellent beef meat cuts and very good and friendly service. Wasn’t too keen on the cooking myself part but that’s part of the experience :)  chicken was on the dry side. Overall good experience and I would go again,May 2026,Family,date_with_label
5,The food was delicious. It was a lot of fun to cook your dinner on a tin plate… We had seven in our group and nobody had any complaints and we all thought that this was just a fun and different experience… Plus the weight staff and the employees were more than gracious and helpful.,May 2026,Friends,date_with_label
5,"Loved it. Will return!! The staff was super nice and the food was excellent quality. Several servers including Patricia helped and gave us an excellent experience,",May 2026,Couples,date_with_label
5,"Amazing food, amazing services. I truly recommend this places",May 2026,Couples,date_with_label
5,Super fun. Flaming steak. The servers were lovely,May 2026,Couples,date_with_label
5,"A really great restaurant! We had a 
tenderloin steak on a hot stone, along with delicious grilled vegetables, crispy fries, and a very good coleslaw salad. Everything was fresh, perfectly prepared, and simply top-notch in flavor. Especially preparing the steak itself on the hot stone was a wonderful experience. Very friendly service and a pleasant atmosphere. Absolute recommendation – we will gladly return!",May 2026,Friends,date_with_label
5,"Amazing food, fabulous experience",May 2026,Couples,date_with_label
5,"Very tasty, very good value, very cozy, super friendly service.",May 2026,Friends,date_with_label
5,Super! Rump steak is highly recommended.,May 2026,Friends,date_with_label
5,Great food and service. We'd love to come back.,May 2026,Friends,date_with_label
5,"Due to the existing very good reviews, we chose this restaurant and were not disappointed.
Our German-speaking server was super nice; the other staff members were also attentive and very helpful.
All our dishes were excellent.",May 2026,Family,date_with_label
5,"Best food and service..!!
Would recommend it.",May 2026,Family,date_with_label
3,"It was fun, but I’m not the best cook in this restaurant",May 2026,Couples,date_with_label
5,"We enjoyed an absolutely divine meal. The atmosphere is casual and intimate to great for groups. And if you are having a birthday, it is extra special. The cook it yourself, at the table with a hot stone is fun. The service is excellent with a team of people ensuring you have a great experience. The location is a relatively short walk from the train station. This is an experience worth the price. We will be back the next time we are in Amsterdam.",May 2026,Couples,date_with_label
5,"One of the best steaks ever, the staff is helpful and very friendly. Good job guys.",May 2026,Couples,date_with_label
5,"Staff is extremely pleasant and professional, food is exceptional, atmosphere cozy and friendly. One of the best steaks I've had in my life. And the option to cook the steak on a hot stone in front of you is truly an amazing experience.",May 2026,Couples,date_with_label
4,"Impeccable service, tasty meat, quality. Small downside on the side: the portions of fries and potatoes are not big enough.",May 2026,Family,date_with_label
2,"We went to the restaurant based on other excellent reviews, and being 21 out of over 5000 reviews.    We attended with friends, 3 of us had different burgers, and one of us had the Texas grill, each of our meals were cold and we had to send the meals back.   The meals were returned to us having been warmed up.  One of the burger buns was burned where it had been put onto the grill.  When the meals returned they were still only tepid and exactly as we had given to them.  Replacement meals should have been provided not the cold meals heated up.  Such a shame as we had high hopes for this restaurant.",May 2026,Friends,date_with_label
5,"Fantastic restaurant, staff were welcoming and the food was delicious, I highly recommend the cote de boeuf.",May 2026,Couples,date_with_label
5,Excellent dinner cooked at our table.  Service was awesome too!!,May 2026,Couples,date_with_label
