rating,text,sentiment,predicted_sentiment
4,like all large street markets you have to wade through tons of crap to find the jewels but they are there. Some decent clothing and antique fixtures amid a sea of Chinese made junk,負面,負面
4,"I am often in Rome and it has been 10 years since I went to the market as it had become just a chinoiserie bazaar. Instead I found hundreds of stalls selling clothing, objects, books as old as it was 30 years ago. That market is coming back. Let's hope...",正面,中立
5,Walked round the whole market from clothes bags and shoes section which wasn’t that interesting The main area where you can find interesting items is in the middle section where some stalls sells old coins and currency as well as watches and clocks Spend a good two hours and to properly go round you will be walking close to 7km plus Happy hunting !,中立,中立
5,I make a point to go here whenever I can-- been about 10 times in the last few years.  There are a lot of things here however I suggest you get there early in the morning as the crowds by late morning/ early afternoon are hard to negotiate.  There are several areas to find antiques and depending on your entrance to the market(I used to approach it from the main entrance however prefer to go right to the antique area off of Circonvallazione Gianicolense)--it is a little further to walk (I stay in Trastevere) however I find it easier to negotiate from this entrance.  The vendors are a lot of fun (just be nice) and there are some real treasures to find just take your time-- it is sensory overload.,正面,中立
4,"It is only on Sundays, you can walk here or take a bus, to Porta Portese, from here the Flea Market starts from there, lots of clothing, it used to be different, but still a few items worth buying....your choice if you have nothing else to do.",中立,中立
5,"Located in the Trastevere district, this is a huge flea market where you can find everything from antiques to knick-knacks, from gastronomy to clothing both new and used. With the right attention and a little luck you can find good deals.",中立,中立
4,"Came here for the benefit of my 3 teenagers and ended up buying 4 super lightweight summer shirts for €10 - bargain! The girls bought stuff too. As others say, it is very very big - the stalls all stretch out along one very long road. They’re all rather similar, selling mainly cheap clothing, not much else in terms of bric a beach and certainly no antique type stuff that you get in other flea markets. Some food stalls along the way and further in some cafes kind of ‘behind’ the main market. Although shaded, it was incredibly hot when we went - hot even for Rome in August - so take some water. We were careful about thieves having been targeted unsuccessfully at the Forum, but I didn’t notice anything obvious. Worth a visit if you just want some cheap clothes bargains but not if you’re expecting to be entertained by curios or to find something you didn’t expect. And great for men’s summer shirts, in all sizes.",中立,中立
4,"This was a great flea market, but don’t go expecting anything but a flea market.  There are booths with cheap Chinese stuff, but also vintage clothing, antiques, Peruvian clothing, Indian jewelry, shoes, purses, souvenirs, and lots of fur coats.  It seems that the best area for antiques was well into the center which took us a good hour to get to, albeit we were shopping. (did I mention HUGE) We gave up after seeing the market extended past the major cross street.  Even turning back we logged a good two miles on the Fitbit.We came prepared for pickpockets, stowing anything valuable safely away, and keeping bags in front and had no problems.",正面,負面
4,"This was like Petticoat Lane meets Brick lane with sections of new items , antique stalls and junk stalls mixed together.Mostly new clothes / shoes with some second hand clothes and house hold items. There is a small quantity of bric a brac / antique stalls. Prices vary hugely between stalls and you need to haggle. Very interesting to watch the locals and see what is for sale. Look out for pickpockets, especially when crowded.",中立,中立
4,"While I don't like these flea markets this one is a bit better than others my wife has made me go along with her to. Generally, I would prefer to be waterboarded than to go to these places.  However, on the sunday that we went in May it was not so crowded as most markets and the quality of the goods seem better. It is mostly clothes, leather goods, and shoes. These seem to be very good and my wife made some good buys. You will get tired of hearing the hawkers yell Prego! Prego@ Prego!.   I wish I had known in Italian how to say Shut Up.  Too much.  If you can stand a long walk this market would be good exercise.",負面,負面
4,"We caught s taxi from the Trevino fountain area - €9. Great for a mouth around - lots of fake goods , clothes and bricks brick a brak area. We then walked down the riverbank to St. Peter's square for the 12o'clock blessing - took about 45 minutes to walk .",中立,中立
4,"The Sunday market consists of mostly Chinese knock offs and 1 Euro stalls and was not really my cup of tea. However, the bicycle stalls on the ""first floor"" were really interesting and had some real gems in there (although most of the bikes were in line with the cheap and nasty theme of the Sunday market). Cool spot if you are into vintage bikes!",中立,中立
5,"Yes, it has lost its peculiarity, but it's still fun walking around the market.You can find a bit of everything, if you come here make sure you buy some stuff, otherwise you'll remember only the crowd.",中立,中立
4,"We went to the Porta Portese Market on our first day in Rome. It is a big market, easy to find. Here you can buy everything from toothpaste and sunglasses to antique furniture. Some stalls are cheap, others are more expensive. My advice is to check prices on different market stalls before you buy",中立,中立
4,"My wife and I went looking for vintage goods.  We found that vintage items were mostly clustered at the far end of the market (and off of the main aisle away from the archway entrance and further from the bridge).  Once there, we found some great records and a few fun vintage items. Pricing by the vendors is aggressive, so be prepared to walk away.",中立,中立
4,"Try to visit it early in the morning, before hundreds of visitors come. You can really find anything here, from cheap Chinese fake goods, to antique furniture.",中立,中立
4,"As flea markets go, there isn't a lot of older or antique stuff.  Instead, it is a good place for cheap souvenirs, shoes, clothes (lots of clothes), luggage, and household goods.  It is fun to people watch and haggle - but make sure to haggle!  Don't take the first price, ever!  If you recognize it for what it is, it is a fun Sunday morning. There was a police presence and we did not feel unsafe, as many of the other reviews talked about pickpockets.  Just don't be dumb!",中立,中立
