rating,text,sentiment,date,trip_type,date_status
4,Quite preserved place is toured in a couple of hours.,中立,Mar 2026,Couples,date_with_label
2,"Market for bad clothes, lousy quality, knickknacks and so on. If it's stingier, it'll fall flat.A disappointment with capital letters.",負面,26-Mar,,unknown_format
5,"We love the experience, lots of pechinchas, wool blouses, shoes, etc, it's chaotic but very interesting",正面,26-Feb,,unknown_format
1,"Waste of time!! I love street fairs, but this is not worth 5 minutes!! Products of very low quality, I lost my time!!",負面,Feb 2026,Couples,date_with_label
1,"Terrible - unsafe vibe, absolute tat for sale on the many repeated stalls. Once you are inside the street of stalls there is no way out until you get to the end and will the unsafe vibe was horrible morning.",負面,26-Jan,,unknown_format
1,"Nightmare!!!!  My wife and I have been to street markets / antique fairs all over the world but this experience at the Porta Portese market was the worst.  If you are seeking anything but second hand clothing, there is absolutely nothing there for you.  The market is in the confines of a very long narrow way with high walls on each side.  In other words, there is no way out but the start and the end.  The space between each side of the vendors is extremely narrow and with the crowds will make anyone feel claustrophobic.  It's actually very unsafe should a panic rush begin.  Unless you are desperate for a deal on second hand clothing, I would very strongly suggest avoiding this market.",負面,Dec 2025,Couples,date_with_label
3,"My wife and I went to this Market on Sunday Nov . 23 2025. It was our first time and we probably only went through 1/3 of the market, which was plenty. It was extremely crowded and many items were overpriced compared to the flea markets in the USA. There were a few vendors that had very good deals and there were some that actually had everything for $1, (just like the Dollar Tree used to be in the US). For the most part, the market was mostly new and used clothes and shoes. There are several places to buy used tools and household items. The market is huge and almost overwhelming. It was hard for us to relax and take it all in because of the constant fear of the pickpockets that you are warned about and something I experienced first hand when $300 was taken from me. I have always been very careful and aware,no matter what county we have visited but they got me. It p!ssed me off and I wanted to beat the guys a$$ if I could have found him again but to be honest, I would almost like to shake his hand and let him keep the $300 if he would show me how he did it. He was definitely a professional! I had always assumed that careless people who don't pay attention to their surroundings were the only people that pickpockets prayed on but I can assure you that even the most vigilant can fall pray to these predators. So in closing, we would probably never go back to the market but it is something to experience and something I would recommend checking out at least once.",負面,Nov 2025,Couples,date_with_label
5,"It was an amazing experience, I loved this market very much. You have to bring cash, because there are so many cool and vintage pieces. I bought many clothes and each cost 50cents",正面,Nov 2025,Couples,date_with_label
1,"Porta Portese has lost its ancient charm.I hadn't been back in many years and I had no idea he'd been like this. I was practically the only Roman to walk the historic market: around me only tourists who arrived in fleets from every corner of the city.Rome, once again, has bowed to the will of hit-and-run tourism: expanses of useless stalls, manned mostly by Bangladeshis - the same ones you find in the local markets of the various of the city in the middle of the week - with the hope of grabbing some French or German by the throat with garments that have nothing vintage.For the Roman citizen now there is nothing left, even Porta Portese have taken us away.Poor Rome and poor us.",負面,Aug 2025,Couples,date_with_label
3,We were recommended by our property owner but honestly I wouldn't bother unless you are looking for 5 euro shirts from north African stall holders. Maybe in the past it had more interesting fair but now its a km of tat interspersed by a few more interesting antique stalls. It's like any market anywhere.,負面,25-Aug,,unknown_format
3,"It is worth the trip if you want to make a cheap purchase, however, it takes a lot of energy and time to separate mass production from actual vintage. There are some hidden diamonds there.",中立,Jul 2025,Solo,date_with_label
5,"They have a lot of souvenirs, clothes, cashmere, vinyl, DVD, CD, antiques, wool, sells everything. It is a very cool, yet economical tour to buy souvenirs from Rome.",正面,Dec 2024,Couples,date_with_label
5,"Porta Portese , this has been on my For you page since the first time I visited Rome.They sell everything and anything.Very cheap.I would say , go to Porta Portese prior to do any shopping in Rome first and then whatever you haven’t seen there then you can go to the shop.Its really good for teenagers who like a different style everyday .Prices range from 0.50cents  to €100. There is public transport available close by.Meter taxi charged us €15 to get there and €12 to get back to our hotel next to Trevi Fountain.Go early in the morning as by 10am it’s already packed.",正面,25-Jun,,unknown_format
4,like all large street markets you have to wade through tons of crap to find the jewels but they are there. Some decent clothing and antique fixtures amid a sea of Chinese made junk,負面,25-Jun,,unknown_format
2,"Very large but much of the same thing over and over....second hand clothes just dumped in piles on the stall tables. Mainly over priced asking for 5 euros and sometimes the quality and state is very poor and stains, very used and worn looking. You can buy the same in Primark but brand new. There were very little stalls that sold new or unusual things and most that are there  you can find them in central Rome. Same cheap magnets, same shorts, t-shirts and trousers. Nothing original or special about this market. No bargains. In the UK there are 2nd hand shops everywhere that you can shop in a more orderly fashion and pay the same. Nothing Italian, special or fun about this market. All the stalls are the same and its overrated and isn't cheapfor what it is. Just very very large full of used tat.",負面,25-Jun,,unknown_format
1,"Second-hand clothes, cheap jewelry, and various items sold on street corners are what you’ll find at Porta Portese. There are no antiques—just a few overpriced old LPs, a couple of tables with vintage tools, and some old books, mostly in Italian. It's extremely crowded and not worth the effort.",負面,May 2025,Couples,date_with_label
3,"Famous Sunday market, it has lost over the years its peculiarity as a market for quality second-hand items, antiques or vintage. They are almost exclusively stalls selling fourth-rate clothes and the sellers are all foreigners. Crowded to the hilt, I wasn't thrilled. Beware of pickpockets, very present.",負面,25-Apr,,unknown_format
2,"The typical market found in every city, low quality clothing and counterfeit goods. You can take a ride but it doesn't deserve.",負面,25-Apr,,unknown_format
